tags,texts
хабрахабр комментарии,"А можно на главной странице у новостей, у которых только заголовок выводится, кол-во комментариев сделать ссылкой на комментарии? Будет сильно удобнее."
блог заголовок,"странно, что блог живет своей жизнью, и его заголовки и кол-во каментов не отражаются на главной странице хабрахабра. "
блоггинг журнал жж тематический блог личный блог,"Я уже задавлся этим вопросом для себя. Принял решение в одном блоге делать заметки как на профессиональную тематику, так и личные, за жизнь.

Хотя вот со временем стал понимать, что, с оджной стороны, качественный тематический блог, которые ведет эксперт, набирает со временем авторитет в своей области, с другой стороны, порой хочется написать что-нибудь из серии «посмотрел кино» или «ходили гулять», что бцудет выбиваться из серьезного экспертного стиля блога.

Как быть? Заводить еще один блог, жж? Или есть такая грань популярности, которую нужно перейти и после которой даже твоя заметка «я купил себе диск» будет читаться, комментироваться и ее будут ждать?"
комментарии rss,А может вот такую штуку сделать — в RSS вместе с заголовком новости или поста будет отдаваться в скобках кол-во имеющихся комментариев? А вот если эта цифра будет обновляться при запросе?
хабрахабр трекбеки пингбеки,"Было бы здорово, если бы вы добавили на Хабре возможность принимать трекбеки и пингбеки. Нам, читателям, это позволит узнавать подробности и мнения о новостях в сторннних блогах. Блоггерам — увеличить трафик. А Хабр выиграет, потому что большее кол-во блоггеров станет ссылаться на его новости."
электронная коммерция Владислав Улендеев эффективность трафи,"Чтобы оживить группу, публикую ответ исполнительного директора холдинга eHouse Владислава Улендеева, который не вошел в интервью.

При всей своей мощи eHouse практически не использует трафик с поисковиков, в то время как все остальные интернет-магазины буквально сидят на трафике с "" Яндекс.Маркета"".
Я спросил Владислава, почему eHouse не участвует в Маркете, и вот что он ответил:
Ответ прост. Остальные не умею считать эффективность рекламы на «Яндекс Маркете». Реклама на «Яндексе» не эффективна. И никаких других причин не рекламироваться там нет. Мы умеем считать с точностью до цента эффективность рекламы на каждого посетителя и на каждый источник. Также, вы не правы о том, что мы не рекламируемся на поисковиках. Мы активно рекламируемся на Гугле. С него мы получаем реальных покупателей, а не роботов, которые кликают на ссылке в «Маркете». 
Мы пробовали несколько раз. Но результат работы с «Маркетом» плачевный. И не нужно здесь искать подводных камней. Их нет. Просто дорого и не эффективно.

Итак, насколько верно утверждение, что реклама на «Яндекс.Маркет» не эффективна?"
интернет торговля электронная коммерция интернет магазин Рун,"Несколько коллег пожаловалось на серьезный спад продаж в мае-июне этого года. Один говорил о стагнации, а несколько и вовсе заявили о том, что в этом году дела обстоят даже несколько хуже, чем в прошлом году. Судя по последним данным, аудитория Рунета в этот период существенно уменьшилась, что в принципе и не удивительно, однако такого серьезного спада активности явно никто не ожидал. Какие мысли на этот счет коллеги? Российский е-коммерц начинает сдавать позиции из-за практически повсеместного отвратительного качества обслуживания или просто сезонность, может людям расхотелось покупать онлайн?"
подкастинг mp аудио СМИ журналистика контент медиа,"На этой неделе Хабрахабр откроет в публичный доступ возможность публиковать подкасты. Это совершенно новая вещь, еще не такая распространенная, как блоггинг, например, поэтому, сегодня задался вопросом: как записывать подкасты?

Судя по отзывам, лучшей программой для записи подкастов является Audacity. Это свободный аудиредактор с открытым исходным кодом. Он работает под Mac OS X, Microsoft Windows, GNU/Linux и другими операционными системами.

Возможно, есть другие программы, более удобные, и если кто-то может дать совет — буду признателен, поскольку для меня в подкастинге все только начинается. :)

"
избранное статьи favourities,"Господа с бесконечной кармой. Хотелось бы узнать.
1 — Кнопка Избранное работает? 
2 — Если работает, то где я могу прочитать свои избранные статьи?
3 — Если сервис предполагается сделать не на один день, тогда у меня вопрос, есть ли идеи по поводу того как организовать персональный раздел «Избранное». Я как пользователь могу сказать, мне лично статьи копировать с сайта выглядит уже не интересным, но таковые есть вот пример. Мне интересно обсуждение и сам текст, но у меня вопрос, изначально добавить его в избранное, работает? Могу ли я надеяться на то, что Хабр, будет хранить инфо так же бережно здесь, и могу ли я ссылаться на статью в будущем с указанием, того, что она в моих избранных (!), или же по этой ссылке. Почему я заговорил об избранных, наверняка у вас отслеживаются какие статьи попадают в избранное, и какие из этого можно делать выводы, и мне не вас учить на эту тему. Но как пользователь, банально бы хотел иметь представление, как позже работать со статьями, цитировать и прочее… Тут собрались вроде бы блоггеры и наверняка это будет всем интересно как и проекту, ибо 
внешние ссылки никогда не мешают. 

Плюс: можно сделать папки для избранных статей? А-ля Новотека, да будет привет господину Ашманову отсюда… 

спасибо.
"
brand mapping реклама branding online branding,"Очень интересный проект — mapping. 

Этот носитель придумали недавно, хотя идея лежала на поверхности. Возможно не ошибусь, если скажу, что первым (по крайней мере первыми заметным) примером стал сериал Sopranos

Совместно с maps.google они брендировали карту. Поллучился серчинг по местам преступлений коварных мафиозных кланов Нью-Йорка. Особенно понравилось тем, кто пропустил серии: гугл карта помечена в тех местах, где кого-то убили или обидели. Кликаешь — вылезает пропущенный эпизод в поп-ап окне. 

Вот такой vehicle, можно пытаться применять к местным брендам. А может быть кто-то уже успел? Тогда жду ссылок. Вопрос к специалистам: возможно ли это на нашем рынке или нужна вся мощь Google? "
хабрахабр хабратред почта,"Почему ответы в группах на корневой пост хабратреда не приходят почтой, как ответы в других местах?"
подкастинг любимые рекомендации обсуждение предпочт,"Хотелось бы узнать, ваше предпочтение, узнать, что предпочитаете слушать, что нравится, что нет. Что рекомендуете.

***

Самое простое решение этого вопроса, конечно же сделать скрин шот своего списка подкастов и загрузить его. 
Даже в профиле можно указать ссылку на скриншот своих подкастов. (но это только мысль)

НО! Тогда без текста мы не сможем сделать даже рейтинг популярности подкастов среди пользователей Хабр. Если он конечно нам нужен :) 

"
предложение функциональность общение ответные эмоции резюмир,"1 — Предлагаю сделать функцию как «игнор коммента» или просто функция «означающая молчание» — потому что хочется, что бы человек понял, я прочитал его высказывание и сделал вывод и мой ответ деликатное молчание, или умное молчание в ответ на не адекватные реплики и выпады. Почему смотрим сюда. Буду рад в очень редких случаях такой функцией воспользоваться (надеюсь это будет не очень часто).

2 — И еще, можно ли сделать резюмирование темы или треда (общения?)

Что бы было понятно, что тема закрыта и по результатам, можно было делать резюме из сказанного и желающим ознакомиться с результатом, можно было его в краткой форме почитать, ибо, если интересны детали, каждый всегда может зайти и посмотреть, что там есть интересного.

"
blog группа тред,"Я знал и раньше, а теперь осознал, чем группы на Хабре отличаются от общего блога, при условии, что писать я собираюсь примерно на одну и ту же тему. Только не смейтесь, что я такой салага. Я просто плохой categorizer абстрактных понятий.

В группу я буду сливать все линки, новинки и мысли, которые могут быть интересны только мне и еще паре человек. И ничего, если почти никто не читает — ведь в группу заходят только те, кому это нужно. Если будут читать – отлично! 

А в блог я помещу только то, что интересно всем. Так? Или, хотя бы то, что имеет потенциал заинтересовать, хотя и принадлежит к моей узкой в разрезе хабрахабра теме. Правильно? 

Вот брендинг в интернете — эта тема может быть интересна многим. Но если я хочу обсудить идею или новость в которой не до конца уверен (может это уже год как не новость, а идею уже придумали до меня 8 человек и один робот), то я сливаю эту инфу сюда – только для тех, кто захотел зайти, вдали от строгих взглядов. В общем, вот так. Да?

Тогда ждите новостей. 
"
Веб  социальные сети блогосфера,"Прочитал такую новость сегодня:

Utherverse, оператор эротической видеоигры, открыл на своем сайте сетевое сообщество для взрослых. Исполнительный директор Брайан Шустер надеется повторить успех подросткового сообщества MySpace.com. 

Компания намерена к концу года привлечь более миллиона пользователей. В правилах сервиса будет разрешен обмен эротическими фото и запись в профиль своих фантазий такого рода. Лицам до 18 лет вход на «взрослый MySpace» будет запрещен: для регистрации потребуется ввести номер кредитной карты, а специальные сотрудники будут отслеживать содержимое на предмет сообщений от несовершеннолетних.

Источник: CNews.ru
 — По моему, это уже клинический случай социальной сети.
"
AdAge реклама branding брендинг PR пресса блогомаркетинг,"У меня в руках два наугад отобранных номера Advertising Age. AdAge — монстр рекламной прессы, New York Times среди газет о маркетинговых коммуникаций.

Количество статей, так или иначе затрагивающих online, говорит о неизбежном: скоро главное издание о рекламе станет газетой про Интернет-маркетинг (шутка, в которой есть доля тренда). 

Вместо того, чтобы скрупулезно переводить какую-нибудь большую и важную статью я решил предложить обзор тех статей в AdAge за 12 и 19 июля 2006 года, которые так или иначе затрагивают тему маркетинговых коммуникаций в сети.

Почему «взрослеет» MySpace? (The Man Moves in on MySpace)
Advertising Age – June 12, 2006 
By Beth Snyderbulik

Оказывается, социальными сетями пользуются не только подростки, жаждущие полу-анонимного общения и самовыражения – делает вывод Beth Snyderbulik на примере МySpace (MySpace занимает первое место на планете среди социальных сетей по посещаемости, третье среди всех Интернет сайтов в США и шестое в среди всех сайтов планеты по данным Alexa.com). Оказывается, среди пользователей MySpace 60% пользователей старше двадцати пяти и 22 миллиона пользователей, которым больше тридцати пяти лет. Что же их туда приводит? У взрослых людей на My Space 2 основных занятия (социализирующиеся, наравне с тинэйджерами, запоздалые блоггеры не в счет):

 — Culture Watching
 — Online Marketing

Culture Watching
Консалтинговые компании, люди, занятые исследованиями молодежных аудитоий, потребительского поведения и т.д не вылезают из MySpace. Специалисты по PR и рекламе и другим смежным сферам создают личные аккаунты, чтобы посредством общения с молодыми френдами не отставать от трендов. Вообще MySpace и на их примере другие социальные сети – это бесплатный доступ ко всем необходимым знаниям о молодежной аудитории.

Online Marketing
Музыкальные и телевизионные студии – частые пользователи МуSpace. У сиквела Пиратов Карибского моря почти 70 000 френдов. Продюсеры шоу и сериалов устраивают кастинги через MySpace, одновременно промоутируя себя. Владельцы мелкого бизнеса успешно продвигают свои услуги. В основном это художники, дизайнеры, владельцы ресторанов и клубов. Всех привлекает высокая таргетированность – следствие фокусировки по интересам. Аккаунты есть у Honda Element, Motorola Q phone, Victoria’s Secret и других. 

Автор заключает: «Помните поздние девяностые, когда на каждой продукте, упаковке и рекламе печатали URL? Приготовьтесь к дежавю: уже сейчас вместо собственного сайта, кампании продвигают аккаунт на My Space.

И приводит примеры: 

www.myspace.com/vspink 

www.myspace.com/deadmanchest 

www.myspace.com/anythingbutcute

www.myspace.com/666 

В следующем треде – обзор статьи Рэнса Крейна (директора компании Crain Communications Inc., которая и выпускает AdAge) о сомнительной эффективности прямой рекламы в интернет.

"
AdAge реклама branding брендинг PR пресса блогомаркетинг Cra,"Нет времени писать о каждой статье подробно, а интересную информацию прятать не хочется, так что вот: мегабеглый обзор статей авторитетных источников на тему интеграции брендов в Интернет с указанием источников, так что если есть желание, всегда можно прочесть.

Люди маркетинга не уверены в сети на все 100%
Advertising Age — June 12, 2006
Rance Crain

Статья директора AdAge о том, что эффективность прямой рекламы в сети под вопросом. Вот основные положения статьи:

 — Люди никогда не кликнут на баннер, если сообщение не связано с темой их поиска в данный момент

 — Эффективной рекламой в Интернет может быть только узкая и идеально таргетированная коммуникация

 — ТВ реклама — пассивное наблюдение, Internet — активный поиск. Поэтому зритель ТВ может проглотить сообщение, которое призвано изменить его взгляды, а Интернет серфер купит только тот посыл, который совпадет с его собственным.

 — Пользователи знают о воздействии на мозг рекламы в сети больше, чем рекламодатели. Поэтому без знания культуры сети изнутри, невозможно создать эффективное сообщение. 

Сказанное Крейном, на мой взгляд, подтверждает эффективность контекстной рекламы и всяческий фокусировок + простые и понятные подходы в креативе и копирайте, скорее необходимость отсутствия креативного умничанья. Максимум функционала и правильное таргетирование — успех рекламы в Internet

Дальше:

 — Краткий обзор последних статей мощного интернет-ресурса об онлайн- маркетинге ClickZ.com
 — После этого еще несколько статей из Adage, включая рассказ о том, как рекламисты изучают онлайновые тренды, чтобы потом разрабатывать правильные оффлайн кампании
"
реклама branding брендинг PR пресса блогомаркетинг ClickZ re,"Как и предполагалось, беглый обзор недавно прочитанного на ClickZ.com

GoFish Launches Branded dating show 
ClickZ.com
By Kate Kaye

GoFish запускает первое (?) интерактивное реалити-шоу. 

Спонсор America’s Dream Date — энергетическим напиток Jet Set. Проект находится на стадии кастинга. Каждый желающий присылает короткий видеосюжет, знакомящих с его/ее красотой и талантом. После этого юзеры голосуют, в том числе голосованием исключают непонравившихся участников из проекта. 

В сентябре останется 20 человек (10 юношей и 10 девушек). С этого момента их задача – присылать видео о себе в неограниченном количестве и продвигать свои клипы не только на GoFish, но и в остальном Интернете: в своих и чужих блогах, на Youtube, создавая аккаунты в социальных сетях и разсылая ролики по имейл. GoFish взамен получает бесплатный, почти вирусный, пиар. Тем более, что дела идут не так уж хорошо: YoutTube по данным Alexa занимает 16 место на планете по трафику, GoFish находится всего лишь на 8 662 позиции. 

Победители полетят в Париж. 2 м 3 места – в Las Vegas.
Sourse 

Social Networking For the Over-50 Crowd 
ClickZ.com
By Enid Burns

Социальная сеть для тех, кому за 50

Основатель monster.com Джефф Тейлор считает, что после 50и жизнь только начинается. Он запускает социальную сеть Eons.com для приближающихся к пенсии бэйби-бумеров. Главные направляющие развития сообщества: финансы, благополучие и любовь. Тейлор считает, что необходимо выбрать 10 самых популярных интересов будущих пенсионеров и строить сетевой социум на совпадении этих интересов, а главное на их практическом воплощении. Например, френдами станут все, кто хочет после пенсии переехать в Майами. К этому они будут стремиться вместе.

Рекламодателями станут как раз те, кто помогает осуществить подобные мечты социально благополучных американских стариканов. Возможность такой точечной и безошибочной фокусировки уже привлекла монстров Verizon, Hyatt, Liberty Mutual, Harras Entertainment (casino and resort) в качестве партнеров и рекламодателей. 

Предполагается, что основной вид рекламы в этом комьюнити станет узко сфокусированное контекстное размещение, но стандартные баннерные площадки также предлагаются. 

Кроме того, Eons.com собирается собрать самую полную базу некрологов :) Там считают, что, поскольку американские пенсионеры много путешествуют и часто меняют место жительства, размещение некрологов в местных печатных изданиях бесполезно, а вот Eons.com замечательно подходит для этого.
Sourse

Blog Advertising: A Quick Tutorial
ClickZ.com
By Mark Kingdon

В своей колонке Кингдон восхищается блогосферой, как перспективнейшим новым медиа для продвижения брендов. Еще одна иллюстрация того, что сейчас только о брендировании блогов и говорят маркетологи. Подробно описывать статью не буду, Кингдом повторяет известные, но правильные вещи: 

 — Блогосфера – мечта любого, кто хочет правильно таргетировать свои сообщения, только нужно аккуатно выбирать сообщества, трендсеттеров внутри этих сообществ и интересы
 — Не умно использовать в блогах стандартные баннеры, нужно стратегически брендировать контент
 — если у кого-то еще нет блогостратегии, самое время завести
Sourse

"
общение юзабилити хабрахабр,"Проблема
На мой взгляд оценки сделаны не совсем удобно!
Пару раз я уже поставил случайно «минус», вместо «плюса» (за что прошу прощения у «пострадавших»)

В чем суть
Ну, во-первых, «галочка» и «крестик» не несут смысловой нагрузки, точнее несут, но совсем не ту. «плюс» и «минус» (как воспринимаю это я) будут тут гораздо уместней. В браузере (Firefox) без картинок эта панелька вообщем становится не юзабельной. Без проблем выбрать не тот знак, какой хотел. Может Alt'ы (или что там по стандартам html?) к изображениям поменять?

Решения
Вообщем, было бы удобней, если это были «плюс» и «минус». Это раз.
Во-вторых, суммарная оценка, размещалась бы между ""+"" и ""-"" (как на forum.sources.ru), или же её положение определялось её знаком. Другими словами положительная оценка рядом с ""+"", отрицательная рядом с ""-"".

А что по этому вопросу думаете вы?"
юзабилити тэги идеи хабрахабр,"Область действия
Вот сейчас я размещаю сообщение, хабратред (ужастъ!). Самым тяжелым моментом для меня является набрать тэги.

Собственно идеи
Во-первых, под полем «Таги:» присутсвуют примеры. Нельзя ли выводить в этим примеры самые популярные тэги? Причем не просто выводить, а делать в виде ссылок, при нажатии на которые, тэги автоматически будут добавляться в поле «Таги:». Ведь если выводить самые популярные, то вероятность того, что пользователю нужен именно этот тэг будет максимальной. А использование ссылок для добавления обеспечит более комфортные условия для пользователя.

Во-вторых, придерживаясь идеи ссылок, почему бы не показывать рядом с формой для редактирования это замечательное облако тэгов. Оно же ввиде ссылок. Вот я нажал бы туда, и тэг добавился бы. Очень удобно. Но есть одно НО. Чтобы не путаться, это облако как минимум должно находится в другом месте (нежели на главной), а лучше еще и выглядеть геометрически по другому. Иначе будет путаться функциональность. Вообщем пускай подумают над этим ваши специалисты по юзабилити, если идея пройдет :-)"
статьи мнение публикации,"Все что попадается и может быть вам интересно. Статьи, мнение, публикации."
комментарии кодировки почта,"Что-то у вас с таблицами перекодировки.

В почту (которая в koi8-r) буква «ё» из комментов приходит вот в таком виде:
 — Совершенно необязательно такому ролику быть смешным. Например, есть множество примеров вирусных компаний, основанных на вполне серь╓зной эротике с порнографией.
 — "
трафик,"Вопрос к спецам.

Расскажите пожалуйста как интернет проект в России может зарабатывать на продаже траффика (Мб, а не рефёры). Я слышал, что Мастерхост в своё время платил вебмастерам какие-то деньги…

Есть ли сейчас такой профит? Пароли, явки, цифры, условия :-)"
карта интернета форма интернета альтернативная навигация в и," Честно говоря, хотел начать группу со свежевыпеченной странности про интернет-ракету. Но решил, что это будет не очень хороший старт для Странных вещей: не хочется начинать с негатива — оружие все-таки…  

Поэтому хочу начать с вопроса, который меня давно интересует: как вам кажется, какую форму имеет интернет? Какой образ возникает в голове, если подумать о форме интернета? Что это — плоскость, шар, куб? Что-то совсем другое?

Также об этом интересно спросить друзей и знакомых, имеющих опыт работы в интернете, и сравнить их ощущения со своими.

Нельзя сказать, что раньше никто не интересовался этой темой — если потратить некоторое количество времени, то можно найти несколько попыток в разное время нарисовать карту интернета. Например, вот такая красивая картинка.

Или вот такие попытки измерить интернет в пуках (pookies).

Но вот как-то не цепляет… Есть ощущение, что интернет это структура все-таки, как минимум, трехмерная. И если найти ей адекватное представление, то можно организовать перемещение по сети каким-то альтернативным способом. 

Такая вот странная вещь.

P.S. Речь ни в коем случае не идет о трехмерных браузерах — IMHO вещь мертворожденная. Абстрагируемся от просмотра вебстраничек и представляем интернет как таковой.

"
